Carats,Price (Singapore Dollars)
0.17,352
0.16,330
0.17,365
0.18,325
0.25,640
0.16,313
0.15,322
0.19,495
0.21,525
0.15,323
0.18,462
0.28,833
0.16,336
0.2,510
0.23,595
0.29,870
0.12,223
0.26,663
0.25,753
0.27,720
0.18,458
0.16,340
0.17,352
0.16,322
0.17,353
0.18,438
0.17,310
0.18,419
0.17,346
0.15,325
0.17,360
0.32,918
0.32,900
0.15,291
0.16,335
0.16,338
0.23,585
0.23,553
0.17,345
0.33,945
0.25,655
0.35,1090
0.18,442
0.25,671
0.25,685
0.15,287
0.26,693
0.15,320
